"","rockExpPct","rockInundPct","sandExpPct","sandInundPct","cobbleExpPct","cobbleInundPct","blackExpPct","blackInundPct","ongExpPct","ongInundPct","mossExpPct(unidentified)","mossInundPct(unidentified)","Byrm/NExp","Byrm/NInund","HeneExp","Hene/NExp","redInundPct","red/blkExpPct","red/blkInundPct","ong/redInundPct","blk/ong/redComboExpPct","blk/ong/redComboInundPct","blk/orgExpPct","blk/orgInundPct","sandyorgExpPct","sandyorgInunPct"
"Crescent-1-20181214",0.211111111111111,0.0282828282828283,0.0434343434343434,0.0525252525252525,0.256565656565657,0.102020202020202,0.174747474747475,0.0525252525252525,0.0101010101010101,0.0151515151515152,0,0,0.00505050505050505,0.00202020202020202,0,0,0,0.00606060606060606,0.00404040404040404,0,0.00101010101010101,0.00707070707070707,0,0.0151515151515152,0,0.0131313131313131
"Canada-1-20181212",0.230392156862745,0.0392156862745098,0.0715686274509804,0.0352941176470588,0.176470588235294,0.107843137254902,0.0794117647058823,0.0764705882352941,0.0196078431372549,0.0127450980392157,0,0,0.0196078431372549,0.00196078431372549,0,0,0.0588235294117647,0.0245098039215686,0.0166666666666667,0,0,0.00686274509803921,0,0.00784313725490196,0,0.0147058823529412
"Canada-2-20181212",0.194,0.017,0.111,0.031,0.296,0.052,0.177,0.045,0.025,0.008,0,0,0.006,0,0,0.005,0,0.01,0,0,0,0,0.005,0.003,0,0.015
"Canada-3-20181212",0.145,0.022,0.046,0.045,0.195,0.101,0.136,0.043,0.005,0.028,0,0,0.189,0,0,0,0,0.005,0.015,0,0,0,0,0.01,0,0.015
"Relict-1-20181218",0.163869693978282,0.0157946692991115,0.0592300098716683,0.0315893385982231,0.241855873642646,0.0977295162882527,0.0819348469891412,0.0750246791707798,0.00493583415597236,0.0493583415597236,0,0,0.10365251727542,0,0,0,0,0.0345508390918065,0.00987166831194472,0,0,0.00789733464955577,0,0,0.0197433366238894,0.00296150049358342
"Relict-3-20181218",0.126745435016112,0.0075187969924812,0.0408163265306122,0.0633727175080559,0.163265306122449,0.0494092373791622,0.223415682062299,0.088077336197637,0.0322234156820623,0.0193340494092374,0,0,0.0955961331901182,0,0,0,0,0,0.0139634801288937,0,0.00537056928034372,0,0,0.0698174006444683,0.00107411385606874,0
"Lost Seal-1-20181208",0.166666666666667,0.0209580838323353,0.0978043912175649,0.0508982035928144,0.292415169660679,0.0708582834331337,0.0449101796407186,0.0459081836327345,0.000998003992015968,0.0538922155688623,0,0,0.134730538922156,0,0,0,0,0.00598802395209581,0,0,0,0,0,0.0119760479041916,0,0.00199600798403194
"Crescent-1-20181220",0.173267326732673,0.0633663366336634,0.0861386138613861,0.0376237623762376,0.222772277227723,0.0811881188118812,0.0861386138613861,0.0465346534653465,0,0.0524752475247525,0,0,0.0940594059405941,0.00297029702970297,0,0,0,0.0227722772277228,0.0099009900990099,0.00594059405940594,0,0,0,0.00792079207920792,0,0.00693069306930693
"Bowles-1-20181222",0.154,0.026,0.087,0.039,0.189,0.079,0.113,0.021,0,0.019,0.01,0,0.132,0.01,0,0,0,0.01,0.015,0,0,0.015,0,0.059,0,0.022
"Relict-1-20190102",0.143283582089552,0.0298507462686567,0.090547263681592,0.03681592039801,0.238805970149254,0.107462686567164,0.148258706467662,0.0736318407960199,0,0.0288557213930348,0,0,0.0298507462686567,0,0,0,0,0,0.0169154228855721,0,0.0497512437810945,0,0,0.00199004975124378,0,0.00398009950248756
